timestamp,price,Open,High,Low,Close,Volume,signal
1701328200,60.289,60.236,60.423,60.218,60.287,132810,SignalNone
1701328800,60.136,60.289,60.296,59.997,60.137,161355,SignalNone
1701329400,60.049,60.137,60.172,59.863,60.05,114537,SignalNone
1701330000,60.146,60.049,60.255,59.866,60.145,121166,SignalNone
1701330600,59.949,60.146,60.157,59.871,59.949,102053,SignalNone
1701331200,59.989,59.95,60.01,59.803,59.99,97192,SignalNone
1701331800,59.865,59.99,60.093,59.765,59.865,137850,SignalNone
1701332400,59.778,59.866,59.949,59.734,59.78,122711,SignalNone
1701333000,59.849,59.778,59.963,59.724,59.859,142306,SignalNone
1701333600,59.498,59.86,59.902,59.36,59.499,276671,SignalNone
1701334200,59.633,59.498,59.722,59.301,59.634,231545,SignalNone
1701334800,59.519,59.633,59.715,59.432,59.506,156452,SignalNone
1701335400,59.4,59.506,59.702,59.236,59.4,196059,SignalLong
1701336000,59.583,59.4,59.641,59.267,59.584,195635,SignalNone
1701336600,59.594,59.583,59.656,59.506,59.595,106815,SignalNone
1701337200,59.651,59.594,59.708,59.495,59.649,109845,SignalNone
1701337800,59.65,59.649,59.704,59.568,59.651,71080,SignalNone
1701338400,59.589,59.649,59.765,59.517,59.584,109643,SignalNone
1701339000,59.534,59.589,59.686,59.436,59.529,98409,SignalNone
1701339600,59.727,59.534,59.738,59.52,59.727,67280,SignalNone
1701340200,59.927,59.728,59.949,59.718,59.927,139011,SignalNone
1701340800,59.864,59.928,60.064,59.817,59.864,184385,SignalNone
1701341400,59.948,59.864,60.144,59.806,59.948,162958,SignalNone
1701342000,59.719,59.948,59.966,59.718,59.718,129129,SignalNone
1701342600,59.773,59.719,59.795,59.597,59.773,153852,SignalNone
1701343200,60.026,59.773,60.041,59.751,60.026,115390,SignalNone
1701343800,60.006,60.027,60.066,59.909,59.996,96820,SignalNone
1701344400,60.249,59.997,60.42,59.997,60.25,209911,SignalNone
1701345000,60.55,60.249,60.555,60.176,60.552,275823,SignalNone
1701345600,60.788,60.549,60.95,60.441,60.776,350782,SignalNone
1701346200,60.646,60.775,60.946,60.553,60.651,427994,SignalNone
1701346800,60.774,60.645,60.909,60.594,60.782,245006,SignalNone
1701347400,60.711,60.777,60.835,60.629,60.711,154297,SignalNone
1701348000,60.79,60.711,60.846,60.653,60.79,134611,SignalNone
1701348600,61.609,60.79,61.762,60.719,61.616,838294,SignalShort
1701349200,61.222,61.616,61.616,61.168,61.223,412654,SignalNone
1701349800,60.927,61.222,61.294,60.626,60.928,423246,SignalNone
1701350400,60.734,60.927,61.077,60.46,60.735,385938,SignalNone
1701351000,60.643,60.734,60.9,60.606,60.646,211762,SignalNone
1701351600,60.528,60.646,60.751,60.317,60.529,290041,SignalNone
1701352200,60.499,60.529,60.93,60.472,60.5,275313,SignalNone
1701352800,60.327,60.5,60.512,59.983,60.327,502517,SignalNone
1701353400,59.959,60.328,60.348,59.633,59.962,636605,SignalNone
1701354000,60.052,59.962,60.149,59.881,60.052,233543,SignalNone
1701354600,60.008,60.052,60.157,59.958,60.008,188877,SignalNone
1701355200,59.654,60.008,60.1,59.601,59.655,307098,SignalNone
1701355800,59.74,59.655,59.8,59.521,59.741,350274,SignalNone
1701356400,59.642,59.741,59.865,59.575,59.643,215641,SignalNone
1701357000,59.431,59.643,59.723,59.316,59.423,336913,SignalNone
1701357600,59.884,59.423,59.946,59.409,59.885,347838,SignalNone
1701358200,59.777,59.885,59.999,59.755,59.777,202136,SignalNone
1701358800,59.584,59.777,59.997,59.438,59.578,231041,SignalNone
1701359400,59.359,59.578,59.632,59.323,59.358,235265,SignalNone
1701360000,59.577,59.349,59.579,59.146,59.578,355854,SignalNone
1701360600,59.307,59.578,59.578,59.21,59.308,279231,SignalNone
1701361200,59.432,59.308,59.625,59.303,59.434,224947,SignalNone
1701361800,59.375,59.433,59.479,59.27,59.371,148129,SignalNone
1701362400,59.217,59.371,59.484,59.2,59.205,161781,SignalNone
1701363000,59.354,59.21,59.396,59.16,59.354,137338,SignalNone
1701363600,59.109,59.354,59.47,59.021,59.11,261657,SignalLong
1701364200,59.2,59.11,59.28,59.025,59.182,179776,SignalNone
1701364800,59.103,59.183,59.26,59.06,59.115,132509,SignalNone
1701365400,59.268,59.116,59.389,58.902,59.27,274397,SignalNone
1701366000,59.369,59.269,59.47,59.23,59.371,130620,SignalNone
1701366600,59.412,59.37,59.466,59.333,59.415,84929,SignalNone
1701367200,59.331,59.413,59.419,59.172,59.331,111647,SignalNone
