Date,Close,predicted_signal
2016-04-05,109.81,1
2016-04-06,110.96,1
2016-04-07,108.54,-1
2016-04-08,108.66,-1
2016-04-11,109.02,-1
2016-04-12,110.44,1
2016-04-13,112.04,1
2016-04-14,112.1,1
2016-04-15,109.85,1
2016-04-18,107.48,1
2016-04-19,106.91,1
2016-04-20,107.13,1
2016-04-21,105.97,1
2016-04-22,105.68,1
2016-04-25,105.08,1
2016-04-26,104.35,1
2016-04-27,97.82,1
2016-04-28,94.83,1
2016-04-29,93.74,1
2016-05-02,93.64,1
2016-05-03,95.18,1
2016-05-04,94.19,1
2016-05-05,93.24,1
2016-05-06,92.72,1
2016-05-09,92.79,1
2016-05-10,93.42,1
2016-05-11,92.51,1
2016-05-12,90.34,1
2016-05-13,90.52,1
2016-05-16,93.88,1
2016-05-17,93.49,1
2016-05-18,94.56,1
2016-05-19,94.2,1
2016-05-20,95.22,1
2016-05-23,96.43,1
2016-05-24,97.9,1
2016-05-25,99.62,1
2016-05-26,100.41,1
2016-05-27,100.35,1
2016-05-31,99.86,1
2016-06-01,98.46,1
2016-06-02,97.72,-1
2016-06-03,97.92,-1
2016-06-06,98.63,-1
2016-06-07,99.03,-1
2016-06-08,98.94,1
2016-06-09,99.65,1
2016-06-10,98.83,1
2016-06-13,97.34,1
2016-06-14,97.46,1
2016-06-15,97.14,-1
2016-06-16,97.55,-1
2016-06-17,95.33,1
2016-06-20,95.1,1
2016-06-21,95.91,1
2016-06-22,95.55,1
2016-06-23,96.1,1
2016-06-24,93.4,1
2016-06-27,92.04,1
2016-06-28,93.59,1
2016-06-29,94.4,1
2016-06-30,95.6,1
2016-07-01,95.89,1
2016-07-05,94.99,1
2016-07-06,95.53,1
2016-07-07,95.94,1
2016-07-08,96.68,1
2016-07-11,96.98,1
2016-07-12,97.42,1
2016-07-13,96.87,1
2016-07-14,98.79,1
2016-07-15,98.78,1
2016-07-18,99.83,1
2016-07-19,99.87,1
2016-07-20,99.96,1
2016-07-21,99.43,1
2016-07-22,98.66,-1
2016-07-25,97.34,-1
2016-07-26,96.67,-1
2016-07-27,102.95,1
2016-07-28,104.34,1
2016-07-29,104.21,1
2016-08-01,106.05,1
2016-08-02,104.48,1
2016-08-03,105.79,1
2016-08-04,105.87,1
2016-08-05,107.48,1
2016-08-08,108.37,1
2016-08-09,108.81,1
2016-08-10,108.0,1
2016-08-11,107.93,1
2016-08-12,108.18,1
2016-08-15,109.48,1
2016-08-16,109.38,1
2016-08-17,109.22,1
2016-08-18,109.08,1
2016-08-19,109.36,1
2016-08-22,108.51,-1
2016-08-23,108.85,-1
2016-08-24,108.03,-1
2016-08-25,107.57,-1
2016-08-26,106.94,-1
2016-08-29,106.82,1
2016-08-30,106.0,1
2016-08-31,106.1,1
2016-09-01,106.73,1
2016-09-02,107.73,1
2016-09-06,107.7,1
2016-09-07,108.36,1
2016-09-08,105.52,1
2016-09-09,103.13,1
2016-09-12,105.44,-1
2016-09-13,107.95,1
2016-09-14,111.77,1
2016-09-15,115.57,1
2016-09-16,114.92,1
2016-09-19,113.58,1
2016-09-20,113.57,1
2016-09-21,113.55,1
2016-09-22,114.62,-1
2016-09-23,112.71,-1
2016-09-26,112.88,-1
2016-09-27,113.09,-1
2016-09-28,113.95,1
2016-09-29,112.18,1
2016-09-30,113.05,1
2016-10-03,112.52,-1
2016-10-04,113.0,-1
2016-10-05,113.05,-1
2016-10-06,113.89,1
2016-10-07,114.06,1
2016-10-10,116.05,1
2016-10-11,116.3,1
2016-10-12,117.34,1
2016-10-13,116.98,1
2016-10-14,117.63,1
2016-10-17,117.55,1
2016-10-18,117.47,1
2016-10-19,117.12,-1
2016-10-20,117.06,-1
2016-10-21,116.6,-1
2016-10-24,117.65,-1
2016-10-25,118.25,1
2016-10-26,115.59,-1
2016-10-27,114.48,1
2016-10-28,113.72,1
2016-10-31,113.54,1
2016-11-01,111.49,1
2016-11-02,111.59,1
2016-11-03,109.83,1
2016-11-04,108.84,1
2016-11-07,110.41,1
2016-11-08,111.06,1
2016-11-09,110.88,1
2016-11-10,107.79,1
2016-11-11,108.43,1
2016-11-14,105.71,1
2016-11-15,107.11,1
2016-11-16,109.99,-1
2016-11-17,109.95,1
2016-11-18,110.06,1
2016-11-21,111.73,1
2016-11-22,111.8,1
2016-11-23,111.23,1
2016-11-25,111.79,1
2016-11-28,111.57,1
2016-11-29,111.46,-1
2016-11-30,110.52,-1
2016-12-01,109.49,-1
2016-12-02,109.9,-1
2016-12-05,109.11,-1
2016-12-06,109.95,-1
2016-12-07,111.03,1
2016-12-08,112.12,1
2016-12-09,113.95,1
2016-12-12,113.3,1
2016-12-13,115.19,1
2016-12-14,115.19,1
2016-12-15,115.82,1
2016-12-16,115.97,1
2016-12-19,116.64,1
2016-12-20,116.95,1
2016-12-21,117.06,1
2016-12-22,116.29,1
2016-12-23,116.52,1
2016-12-27,117.26,1
2016-12-28,116.76,-1
2016-12-29,116.73,-1
2016-12-30,115.82,-1
2017-01-03,116.15,-1
2017-01-04,116.02,-1
2017-01-05,116.61,-1
2017-01-06,117.91,1
2017-01-09,118.99,1
2017-01-10,119.11,1
2017-01-11,119.75,1
2017-01-12,119.25,1
2017-01-13,119.04,1
2017-01-17,120.0,1
2017-01-18,119.99,1
2017-01-19,119.78,-1
2017-01-20,120.0,1
2017-01-23,120.08,1
2017-01-24,119.97,-1
2017-01-25,121.88,1
2017-01-26,121.94,1
2017-01-27,121.95,1
2017-01-30,121.63,1
2017-01-31,121.35,1
2017-02-01,128.75,1
2017-02-02,128.53,1
2017-02-03,129.08,1
2017-02-06,130.29,1
2017-02-07,131.53,1
2017-02-08,132.04,1
2017-02-09,132.42,1
2017-02-10,132.12,1
2017-02-13,133.29,1
2017-02-14,135.02,1
2017-02-15,135.51,1
2017-02-16,135.345,1
2017-02-17,135.72,1
2017-02-21,136.7,1
2017-02-22,137.11,1
2017-02-23,136.53,1
2017-02-24,136.66,1
2017-02-27,136.93,1
2017-02-28,136.99,1
2017-03-01,139.79,1
2017-03-02,138.96,1
2017-03-03,139.78,1
2017-03-06,139.34,1
2017-03-07,139.52,1
2017-03-08,139.0,-1
2017-03-09,138.68,-1
2017-03-10,139.14,-1
2017-03-13,139.2,-1
2017-03-14,138.99,-1
2017-03-15,140.46,1
2017-03-16,140.69,1
2017-03-17,139.99,1
2017-03-20,141.46,1
2017-03-21,139.84,1
2017-03-22,141.42,1
2017-03-23,140.92,1
2017-03-24,140.64,1
2017-03-27,140.88,-1
2017-03-28,143.8,1
2017-03-29,144.12,1
2017-03-30,143.93,1
2017-03-31,143.66,1
2017-04-03,143.7,1
2017-04-04,144.77,1
2017-04-05,144.02,-1
2017-04-06,143.66,-1
2017-04-07,143.34,-1
2017-04-10,143.17,-1
2017-04-11,141.63,-1
2017-04-12,141.8,-1
2017-04-13,141.05,1
2017-04-17,141.83,-1
2017-04-18,141.2,-1
2017-04-19,140.68,1
2017-04-20,142.44,1
2017-04-21,142.27,1
2017-04-24,143.64,1
2017-04-25,144.53,1
2017-04-26,143.68,1
2017-04-27,143.79,1
2017-04-28,143.65,1
2017-05-01,146.58,1
2017-05-02,147.51,1
2017-05-03,147.06,1
2017-05-04,146.53,1
2017-05-05,148.96,1
2017-05-08,153.01,1
2017-05-09,153.99,1
2017-05-10,153.26,1
2017-05-11,153.95,1
2017-05-12,156.1,1
2017-05-15,155.7,1
2017-05-16,155.47,1
2017-05-17,150.25,-1
2017-05-18,152.54,-1
2017-05-19,153.06,-1
2017-05-22,153.99,-1
2017-05-23,153.8,-1
2017-05-24,153.34,1
2017-05-25,153.87,1
2017-05-26,153.61,1
2017-05-30,153.67,-1
2017-05-31,152.76,-1
2017-06-01,153.18,-1
2017-06-02,155.45,1
2017-06-05,153.93,1
2017-06-06,154.45,1
2017-06-07,155.37,1
2017-06-08,154.99,1
2017-06-09,148.98,1
2017-06-12,145.42,1
2017-06-13,146.59,1
2017-06-14,145.16,1
2017-06-15,144.29,1
2017-06-16,142.27,1
2017-06-19,146.34,1
2017-06-20,145.01,1
2017-06-21,145.87,1
2017-06-22,145.63,1
2017-06-23,146.28,1
2017-06-26,145.82,-1
2017-06-27,143.73,1
2017-06-28,145.83,-1
2017-06-29,143.68,-1
2017-06-30,144.02,-1
2017-07-03,143.5,1
2017-07-05,144.09,1
2017-07-06,142.73,1
2017-07-07,144.18,1
2017-07-10,145.06,1
2017-07-11,145.53,1
2017-07-12,145.74,1
2017-07-13,147.77,1
2017-07-14,149.04,1
2017-07-17,149.56,1
2017-07-18,150.08,1
2017-07-19,151.02,1
2017-07-20,150.34,1
2017-07-21,150.27,1
2017-07-24,152.09,1
2017-07-25,152.74,1
2017-07-26,153.46,1
2017-07-27,150.56,1
2017-07-28,149.5,-1
2017-07-31,148.73,-1
2017-08-01,150.05,-1
2017-08-02,157.14,1
2017-08-03,155.57,1
2017-08-04,156.39,1
2017-08-07,158.81,1
2017-08-08,160.08,1
2017-08-09,161.059998,1
2017-08-10,155.32,1
2017-08-11,157.48,1
2017-08-14,159.85,1
2017-08-15,161.6,1
2017-08-16,160.95,1
2017-08-17,157.86,1
2017-08-18,157.5,-1
2017-08-21,157.21,-1
2017-08-22,159.78,-1
2017-08-23,159.98,-1
2017-08-24,159.27,1
2017-08-25,159.86,1
2017-08-28,161.47,1
2017-08-29,162.91,1
2017-08-30,163.35,1
2017-08-31,164.0,1
2017-09-01,164.05,1
2017-09-05,162.08,1
2017-09-06,161.91,-1
2017-09-07,161.26,-1
2017-09-08,158.63,-1
2017-09-11,161.5,-1
2017-09-12,160.86,-1
2017-09-13,159.65,1
2017-09-14,158.28,1
2017-09-15,159.88,1
2017-09-18,158.67,1
2017-09-19,158.73,1
2017-09-20,156.07,1
2017-09-21,153.39,1
2017-09-22,151.89,1
2017-09-25,150.55,1
2017-09-26,153.14,1
2017-09-27,154.23,1
2017-09-28,153.28,1
2017-09-29,154.12,1
2017-10-02,153.81,1
2017-10-03,154.48,1
2017-10-04,153.48,-1
2017-10-05,155.39,1
